,id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_can_leave,entry_can_admin,entry_can_invite,has_cup,cup_league,cup_qualified,entry_rank,entry_last_rank
0,12,Liverpool,team-12,2022-07-05T09:51:58.299915Z,False,,,s,c,,1,False,False,False,True,,,269430,0
1,116,Hong Kong,region-96,2022-07-05T09:51:59.156399Z,False,,,s,c,,1,False,False,False,True,,,4785,0
2,276,Gameweek 1,event-1,2022-07-05T09:52:00.459050Z,False,,,s,c,,1,False,False,False,False,,,1208523,0
3,314,Overall,overall,2022-07-05T09:52:00.763442Z,False,,,s,c,,1,False,False,False,True,,,1135520,0
4,62743,LFC Make us Dream,,2022-07-05T20:02:40.066049Z,False,,,x,c,304919.0,1,True,False,False,True,,,26,0
5,93245,Anfield's 12th,,2022-07-06T02:03:12.161843Z,False,,,x,c,500822.0,1,True,False,False,True,,,103,0
6,97367,利物浦 Kop End,,2022-07-06T04:39:14.050602Z,False,,,x,c,526918.0,1,True,False,False,True,,,279,0
7,533818,波事春秋戰國聯賽,,2022-07-19T06:00:31.580556Z,False,,,x,c,2547062.0,1,True,False,False,True,,,76,0
8,556308,Eclipse EPL League,,2022-07-20T09:09:41.856360Z,False,,,x,c,2731776.0,1,True,False,False,True,,,1,0
9,927477,那些利迷的紅色日記,,2022-07-30T07:03:54.793598Z,False,,,x,c,4260349.0,1,True,False,False,True,,,108,0
10,1260869,Classic TST league,,2022-08-03T12:47:07.062724Z,False,,,x,c,5619258.0,1,True,False,False,True,,,3,0
11,1538673,League 1538673,,2022-08-05T05:31:18.620925Z,True,,,c,c,,1,True,False,False,False,,,4,0
